Game File,Game Date,Pitching Team,Hitting Team,Pitcher,Batter,Inning,Plate Appearance,Play,Play Type,Outs,New BaseOut State,Pitch Sequence,Batter Handedness,Pitcher Handedness,Runs Scored On Play,Runs Charged To,Game Location (Hitting),Game Location (Pitching),Previous BaseOut State,Next Outs,Outs on Play,All Counts,Inning Number,Grouped Play Type
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,C. Fox,T4,30,C. Fox flied out to cf.,F8,1,1__,BBFFBFFP,L,R,0,[],Away,Home,1__,2.0,1.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2']",4,Out
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,C. Cornwell,T4,31,C. Cornwell struck out swinging.,KS,2,1__,SSFFS,L,R,0,[],Away,Home,1__,3.0,1.0,"['0-0', '0-1', '0-2']",4,Strikeout
651295.xml,2/21/2026,MARYLAND,TOLEDO,C. Olensky,A. Hensley,B4,32,A. Hensley lined out to cf.,L8,0,___,BFBBP,R,L,0,[],Home,Away,___,1.0,1.0,"['0-0', '1-0', '1-1', '2-1', '3-1']",4,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,C. Olensky,J. Gober,B4,33,J. Gober lined out to ss.,L6,1,___,BBKKBFP,R,L,0,[],Home,Away,___,2.0,1.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2']",4,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,C. Olensky,M. Mckay,B4,34,M. Mckay struck out swinging.,KS,2,___,BBFBFS,R,L,0,[],Home,Away,___,3.0,1.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2']",4,Strikeout
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,S. Woods,T5,35,S. Woods singled through the left side.,1B LS,0,1__,FBBP,R,R,0,[],Away,Home,___,0.0,0.0,"['0-0', '0-1', '1-1', '2-1']",5,Single
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,Z. Rocke,T5,36,Z. Rocke popped into double play c to second base; S. Woods out on the play.,PF2 4 DP,0,___,BPP,R,R,0,[],Away,Home,1__,2.0,2.0,"['0-0', '1-0', '2-0']",5,Out
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,A. McGowan,T5,37,A. McGowan grounded out to p.,13,2,___,KP,R,R,0,[],Away,Home,___,3.0,1.0,"['0-0', '0-1']",5,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,E. Maloney,B5,39,E. Maloney singled to left field.,1B 7,0,1__,FKP,R,R,0,[],Home,Away,___,0.0,0.0,"['0-0', '0-1', '0-2']",5,Single
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,P. Abiley,B5,40,P. Abiley grounded out to 1b unassisted; E. Maloney advanced to second.,3U,0,_2_,FSBFFP,R,R,0,[],Home,Away,1__,1.0,1.0,"['0-0', '0-1', '0-2', '1-2']",5,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,A. Shepherd,B5,41,A. Shepherd grounded out to 3b.,53,1,_2_,BP,R,R,0,[],Home,Away,_2_,2.0,1.0,"['0-0', '1-0']",5,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,E. Enriquez,B5,42,E. Enriquez walked.,BB,2,12_,BKBBB,L,R,0,[],Home,Away,_2_,2.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1']",5,Walk
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,S. Bolding,B5,43,S. Bolding flied out to lf.,F7,2,12_,KFP,R,R,0,[],Home,Away,12_,3.0,1.0,"['0-0', '0-1', '0-2']",5,Out
